Cell_Type,Single_Cell_Voltage_V,Cells_in_Series,System_Voltage_V,System_Capacity_mAh_per_kg,System_Energy_Density_Wh_per_kg,Runtime_per_kg_hours,Mass_needed_kg,Application
Mg-Ni,2.12,2,4.24,299.3565161274309,1.269271628380307,29935.651612743088,2.9262767062237653,Pacemaker
Mg-Cu,2.71,2,5.42,291.4461601662559,1.5796381881011068,29144.616016625587,3.0057009483339376,Pacemaker
Ni-Cu,0.5900000000000001,6,3.5400000000000005,245.5463938514786,0.8692342342342344,24554.63938514786,3.567553920298492,Pacemaker
Mg-Au,3.87,1,3.87,236.62551440329221,0.9157407407407409,23662.55144032922,3.7020521739130428,Pacemaker
Ni-Au,1.75,2,3.5,205.44547076684594,0.7190591476839607,20544.547076684594,4.263905145877597,Pacemaker
Cu-Au,1.16,3,3.4799999999999995,201.68859456589448,0.7018763090893128,20168.859456589445,4.343329387987771,Pacemaker
Mg-Ni,2.12,1,2.12,299.3565161274309,0.6346358141901535,0.7483912903185772,2.6723988184691922,Flashlight
Mg-Cu,2.71,1,2.71,291.4461601662559,0.7898190940505534,0.7286154004156397,2.7449323729077055,Flashlight
Ni-Cu,0.5900000000000001,3,1.7700000000000002,245.5463938514786,0.4346171171171172,0.6138659846286965,3.2580401098616365,Flashlight
Mg-Au,3.87,1,3.87,236.62551440329221,0.9157407407407409,0.5915637860082306,3.380869565217391,Flashlight
Ni-Au,1.75,1,1.75,205.44547076684594,0.35952957384198037,0.5136136769171149,3.893977302171322,Flashlight
Cu-Au,1.16,2,2.32,201.68859456589448,0.4679175393928751,0.5042214864147362,3.966510856609836,Flashlight
Mg-Ni,2.12,2,4.24,299.3565161274309,1.269271628380307,0.5987130322548618,1.6702492615432452,Electronics
Mg-Cu,2.71,2,5.42,291.4461601662559,1.5796381881011068,0.5828923203325117,1.7155827330673161,Electronics
Ni-Cu,0.5900000000000001,7,4.130000000000001,245.5463938514786,1.0141066066066067,0.4910927877029572,2.0362750686635227,Electronics
Mg-Au,3.87,1,3.87,236.62551440329221,0.9157407407407409,0.47325102880658443,2.1130434782608694,Electronics
Ni-Au,1.75,3,5.25,205.44547076684594,1.0785887215259413,0.4108909415336919,2.4337358138570764,Electronics
Cu-Au,1.16,4,4.64,201.68859456589448,0.9358350787857502,0.40337718913178894,2.4790692853811476,Electronics
